origin-folder,doc-name,prediction
alt.atheism,53658,soc.religion.christian
alt.atheism,53660,soc.religion.christian
alt.atheism,53661,soc.religion.christian
alt.atheism,53663,soc.religion.christian
alt.atheism,53664,soc.religion.christian
alt.atheism,53667,alt.atheism
alt.atheism,53669,soc.religion.christian
alt.atheism,53670,alt.atheism
alt.atheism,53671,alt.atheism
alt.atheism,53673,sci.med
alt.atheism,53675,talk.politics.guns
alt.atheism,53676,alt.atheism
alt.atheism,53677,soc.religion.christian
alt.atheism,53753,talk.politics.mideast
alt.atheism,53754,alt.atheism
alt.atheism,53755,alt.atheism
alt.atheism,53756,soc.religion.christian
alt.atheism,53757,sci.med
alt.atheism,53758,alt.atheism
alt.atheism,53759,talk.politics.guns
alt.atheism,53760,soc.religion.christian
alt.atheism,53761,alt.atheism
alt.atheism,53762,alt.atheism
alt.atheism,53763,alt.atheism
alt.atheism,53764,alt.atheism
alt.atheism,53765,sci.med
alt.atheism,53766,alt.atheism
alt.atheism,53780,talk.politics.mideast
alt.atheism,53781,alt.atheism
alt.atheism,53782,soc.religion.christian
alt.atheism,53783,sci.med
alt.atheism,53784,sci.space
alt.atheism,53785,alt.atheism
alt.atheism,53786,alt.atheism
alt.atheism,53790,soc.religion.christian
alt.atheism,53791,soc.religion.christian
alt.atheism,53792,alt.atheism
alt.atheism,53793,alt.atheism
alt.atheism,53794,soc.religion.christian
alt.atheism,53795,soc.religion.christian
alt.atheism,53798,sci.med
alt.atheism,53801,talk.politics.guns
alt.atheism,53803,soc.religion.christian
alt.atheism,53804,soc.religion.christian
alt.atheism,53805,sci.med
alt.atheism,53806,comp.os.ms-windows.misc
alt.atheism,53807,soc.religion.christian
alt.atheism,53808,sci.space
alt.atheism,53809,alt.atheism
alt.atheism,53810,alt.atheism
alt.atheism,53811,soc.religion.christian
alt.atheism,53812,alt.atheism
alt.atheism,54125,alt.atheism
alt.atheism,54126,alt.atheism
alt.atheism,54127,soc.religion.christian
alt.atheism,54128,soc.religion.christian
alt.atheism,54129,alt.atheism
alt.atheism,54131,alt.atheism
alt.atheism,54133,alt.atheism
alt.atheism,54134,alt.atheism
alt.atheism,54135,alt.atheism
alt.atheism,54136,sci.med
alt.atheism,54137,soc.religion.christian
alt.atheism,54138,soc.religion.christian
alt.atheism,54139,rec.motorcycles
alt.atheism,54141,soc.religion.christian
alt.atheism,54142,alt.atheism
alt.atheism,54143,talk.politics.guns
alt.atheism,54144,alt.atheism
alt.atheism,54160,alt.atheism
alt.atheism,54163,talk.politics.mideast
alt.atheism,54164,comp.graphics
alt.atheism,54165,alt.atheism
alt.atheism,54166,alt.atheism
alt.atheism,54167,talk.politics.mideast
alt.atheism,54168,alt.atheism
alt.atheism,54170,alt.atheism
alt.atheism,54171,alt.atheism
alt.atheism,54172,sci.med
alt.atheism,54173,alt.atheism
alt.atheism,54174,sci.med
alt.atheism,54175,soc.religion.christian
alt.atheism,54176,talk.politics.misc
alt.atheism,54178,soc.religion.christian
alt.atheism,54179,sci.med
alt.atheism,54180,alt.atheism
alt.atheism,54181,alt.atheism
alt.atheism,54182,alt.atheism
alt.atheism,54183,alt.atheism
alt.atheism,54184,talk.politics.guns
alt.atheism,54185,alt.atheism
alt.atheism,54186,talk.politics.mideast
alt.atheism,54187,sci.med
alt.atheism,54188,alt.atheism
alt.atheism,54189,alt.atheism
alt.atheism,54190,soc.religion.christian
alt.atheism,54191,alt.atheism
alt.atheism,54192,soc.religion.christian
alt.atheism,54193,alt.atheism
alt.atheism,54194,alt.atheism
alt.atheism,54195,talk.politics.mideast
alt.atheism,54196,alt.atheism
alt.atheism,54197,rec.motorcycles
alt.atheism,54198,alt.atheism
alt.atheism,54199,alt.atheism
alt.atheism,54200,soc.religion.christian
alt.atheism,54201,alt.atheism
alt.atheism,54202,sci.med
alt.atheism,54203,soc.religion.christian
alt.atheism,54204,talk.politics.guns
alt.atheism,54215,talk.politics.mideast
alt.atheism,54216,alt.atheism
alt.atheism,54217,soc.religion.christian
alt.atheism,54218,alt.atheism
alt.atheism,54219,alt.atheism
alt.atheism,54220,soc.religion.christian
alt.atheism,54221,soc.religion.christian
alt.atheism,54222,talk.politics.mideast
alt.atheism,54223,sci.med
alt.atheism,54224,soc.religion.christian
alt.atheism,54225,soc.religion.christian
alt.atheism,54226,alt.atheism
alt.atheism,54227,talk.politics.mideast
alt.atheism,54228,talk.politics.guns
alt.atheism,54231,alt.atheism
alt.atheism,54233,soc.religion.christian
alt.atheism,54234,rec.autos
alt.atheism,54235,rec.motorcycles
alt.atheism,54236,talk.politics.mideast
alt.atheism,54237,soc.religion.christian
alt.atheism,54238,alt.atheism
alt.atheism,54239,soc.religion.christian
alt.atheism,54240,comp.graphics
alt.atheism,54241,alt.atheism
alt.atheism,54242,comp.graphics
alt.atheism,54243,soc.religion.christian
alt.atheism,54244,soc.religion.christian
alt.atheism,54245,alt.atheism
alt.atheism,54246,alt.atheism
alt.atheism,54247,alt.atheism
alt.atheism,54248,alt.atheism
alt.atheism,54249,sci.space
alt.atheism,54250,soc.religion.christian
alt.atheism,54251,sci.med
alt.atheism,54253,sci.crypt
alt.atheism,54254,soc.religion.christian
alt.atheism,54255,alt.atheism
alt.atheism,54256,soc.religion.christian
alt.atheism,54257,sci.med
alt.atheism,54258,soc.religion.christian
alt.atheism,54259,alt.atheism
alt.atheism,54260,soc.religion.christian
alt.atheism,54261,soc.religion.christian
alt.atheism,54262,soc.religion.christian
alt.atheism,54468,sci.med
alt.atheism,54470,soc.religion.christian
alt.atheism,54471,alt.atheism
alt.atheism,54472,alt.atheism
alt.atheism,54473,sci.med
alt.atheism,54481,soc.religion.christian
alt.atheism,54564,soc.religion.christian
comp.graphics,38962,comp.graphics
comp.graphics,38963,comp.graphics
comp.graphics,38964,comp.sys.ibm.pc.hardware
comp.graphics,38965,comp.windows.x
comp.graphics,38966,alt.atheism
comp.graphics,38967,comp.os.ms-windows.misc
comp.graphics,38968,comp.graphics
comp.graphics,38969,comp.graphics
comp.graphics,38970,comp.graphics
comp.graphics,38971,comp.graphics
comp.graphics,38972,comp.windows.x
comp.graphics,38973,comp.graphics
comp.graphics,38975,comp.sys.ibm.pc.hardware
comp.graphics,38976,comp.graphics
comp.graphics,38977,comp.sys.mac.hardware
comp.graphics,38978,sci.electronics
comp.graphics,38979,comp.graphics
